X;Y;dX;dY;grass;savanah;desert;swamp;beach;snow;lava;
5,0;13,0;2,0;2,0;true;false;false;false;false;false;false;
1,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
2,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
3,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
4,0;20,0;1,0;1,0;true;true;true;true;true;true;false;
6,0;20,0;2,0;2,0;false;false;false;false;true;false;false;
8,0;20,0;1,0;1,0;false;false;false;false;true;false;false;
9,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
10,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
11,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
12,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
13,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
14,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
15,0;20,0;1,0;2,0;true;false;false;true;false;false;false;
16,0;20,0;1,0;2,0;true;false;false;true;false;false;false;
17,0;20,0;1,0;2,0;true;false;false;true;false;false;false;
18,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
19,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
20,0;20,0;1,0;1,0;false;false;false;false;false;true;false;
21,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
22,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
23,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
24,0;20,0;1,0;1,0;false;false;false;true;false;false;false;
25,0;20,0;1,0;2,0;false;false;false;true;false;false;false;
26,0;20,0;1,0;2,0;false;false;false;true;false;false;false;
27,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
28,0;20,0;1,0;1,0;false;false;false;false;false;true;false;
29,0;20,0;1,0;1,0;false;false;false;false;false;true;false;
30,0;20,0;2,0;1,0;false;false;false;false;false;true;false;
32,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
33,0;20,0;2,0;3,0;false;false;false;true;false;false;false;
1,0;21,0;2,0;3,0;false;false;false;false;false;false;false;
3,0;21,0;1,0;1,0;true;false;false;false;false;false;false;
5,0;21,0;1,0;1,0;true;false;false;false;true;false;false;
3,0;22,0;1,0;1,0;true;false;false;true;false;false;false;
4,0;22,0;1,0;1,0;true;false;false;false;false;false;false;
4,0;23,0;1,0;1,0;true;false;false;true;false;false;false;
5,0;22,0;1,0;2,0;false;false;false;false;true;false;false;
9,0;20,0;1,0;1,0;false;false;false;false;true;false;false;
9,0;21,0;1,0;1,0;false;false;false;false;true;false;false;
9,0;22,0;1,0;1,0;true;false;false;false;false;true;false;
10,0;21,0;1,0;1,0;true;false;false;false;false;false;false;
11,0;21,0;1,0;1,0;true;false;false;false;false;false;false;
12,0;21,0;1,0;1,0;true;false;false;false;false;false;false;
12,0;22,0;1,0;1,0;true;false;false;false;false;false;false;
13,0;21,0;3,0;3,0;false;true;false;false;false;false;false;
16,0;22,0;3,0;3,0;true;false;false;true;false;false;false;
18,0;21,0;1,0;1,0;true;false;false;true;false;false;false;
19,0;21,0;1,0;1,0;false;false;false;false;false;false;false;
19,0;22,0;1,0;1,0;true;false;false;true;false;true;false;
19,0;23,0;1,0;1,0;true;false;false;true;false;true;false;
20,0;21,0;1,0;1,0;false;false;false;false;false;true;false;
20,0;22,0;1,0;1,0;false;false;false;false;false;false;false;
21,0;21,0;1,0;1,0;false;false;false;false;false;false;false;
28,0;20,0;1,0;1,0;false;false;false;false;false;false;false;
28,0;21,0;2,0;2,0;false;false;false;false;true;false;false;
28,0;23,0;1,0;1,0;false;false;false;false;true;false;false;
5,0;13,0;2,0;2,0;true;false;false;false;false;false;false;
1,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
2,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
3,0;20,0;1,0;1,0;true;false;false;false;false;false;false;
4,0;20,0;1,0;1,0;true;true;true;true;true;true;false;
6,0;20,0;2,0;2,0;false;false;false;false;true;false;false;